post_id,post_title,_search_title,post_status,post_tags,post_category,default_category,featured,featured_image,submit_ip,overall_rating,rating_count,street,street2,city,region,country,zip,latitude,longitude,mapview,mapzoom,siren,raison_sociale,statut_juridique,sdsei,pole_territorial,utd,nb_adherents,capital_social,post_dummy,phone,email,website,facebook
6122,ASSOCIATION JEUNESSE SYLVESTRE,association jeunesse sylvestre,publish,,,,"0",,127.0.0.1,"0","0",,,AÏCIRITS-CAMOU-SUHAST,Nouvelle-Aquitaine,France,64120,43.296096941285164,-1.1759779856853587,,,788637064,ASSOCIATION JEUNESSE SYLVESTRE,ASSOCIATIONS,Pays Basque intérieur,AMIKUZE,UTD Basse Navarre et Soule,,,"0",,,,
6123,LES AMIS DU MUSEE DE LA MONNAIE ET D'HISTOIRE DE FRANCE ET DE NAVARRE,les amis du musee de la monnaie et dhistoire de france et de navarre,publish,,,,"0",,127.0.0.1,"0","0",,,AÏCIRITS-CAMOU-SUHAST,Nouvelle-Aquitaine,France,64120,43.39173043916576,-1.3885515759846112,,,804756252,LES AMIS DU MUSEE DE LA MONNAIE ET D'HISTOIRE DE FRANCE ET DE NAVARRE,ASSOCIATIONS,Pays Basque intérieur,AMIKUZE,UTD Basse Navarre et Soule,,,"0",,,,
6124,COMITE DES FETES D AICIRITS CAMOU SUHAST,comite des fetes d aicirits camou suhast,publish,,,,"0",,127.0.0.1,"0","0",,,AÏCIRITS-CAMOU-SUHAST,Nouvelle-Aquitaine,France,64120,43.29305202532128,-1.2461065513796359,,,808984652,COMITE DES FETES D AICIRITS CAMOU SUHAST,ASSOCIATIONS,Pays Basque intérieur,AMIKUZE,UTD Basse Navarre et Soule,,,"0",,,,
6125,PARSIFAL FILMS,parsifal films,publish,,,,"0",,127.0.0.1,"0","0",,,AÏCIRITS-CAMOU-SUHAST,Nouvelle-Aquitaine,France,64120,43.09421352670181,-1.0253166367356277,,,817693880,PARSIFAL FILMS,ASSOCIATIONS,Pays Basque intérieur,AMIKUZE,UTD Basse Navarre et Soule,,,"0",,,,
6126,ASSOCIATION SPORT SANTE PAYS-BASQUE,association sport sante pays basque,publish,"",",29,",29,"0",,127.0.0.1,"0","0",,,AÏCIRITS-CAMOU-SUHAST,Nouvelle-Aquitaine,France,64120,43.24621736768576,-1.2596122876658424,,,838220929,ASSOCIATION SPORT SANTE PAYS-BASQUE,ASSOCIATIONS,Pays Basque intérieur,AMIKUZE,UTD Basse Navarre et Soule,,,"0",,,,
6127,AMIKUZEKO ERREKEN LAGUNAK,amikuzeko erreken lagunak,publish,,,,"0",,127.0.0.1,"0","0",,,AÏCIRITS-CAMOU-SUHAST,Nouvelle-Aquitaine,France,64120,43.1000747041389,-0.9842071851420185,,,844432989,AMIKUZEKO ERREKEN LAGUNAK,ASSOCIATIONS,Pays Basque intérieur,AMIKUZE,UTD Basse Navarre et Soule,,,"0",,,,
6128,SOLIDARITE MIGRANTS - ELKARTASUNA AMIKUZEN,solidarite migrants elkartasuna amikuzen,publish,,,,"0",,127.0.0.1,"0","0",,,AÏCIRITS-CAMOU-SUHAST,Nouvelle-Aquitaine,France,64120,43.11286189942302,-1.2484558268287549,,,844433243,SOLIDARITE MIGRANTS - ELKARTASUNA AMIKUZEN,ASSOCIATIONS,Pays Basque intérieur,AMIKUZE,UTD Basse Navarre et Soule,,,"0",,,,
6129,SYMPA LES ACSE,sympa les acse,publish,,,,"0",,127.0.0.1,"0","0",,,AÏCIRITS-CAMOU-SUHAST,Nouvelle-Aquitaine,France,64120,43.231098803366834,-1.03750897244587,,,847929924,SYMPA LES ACSE,ASSOCIATIONS,Pays Basque intérieur,AMIKUZE,UTD Basse Navarre et Soule,,,"0",,,,
6130,ERRAN ETA BIZI DIRE ET VIVRE,erran eta bizi dire et vivre,publish,,,,"0",,127.0.0.1,"0","0",,,AÏCIRITS-CAMOU-SUHAST,Nouvelle-Aquitaine,France,64120,43.3741458296722,-1.7037615016725363,,,851252841,ERRAN ETA BIZI DIRE ET VIVRE,ASSOCIATIONS,Pays Basque intérieur,AMIKUZE,UTD Basse Navarre et Soule,,,"0",,,,
6131,GROUPEMENT PASTORAL DE L'ESTIVE DE KONTRASARO,groupement pastoral de lestive de kontrasaro,publish,,,,"0",,127.0.0.1,"0","0",,,AINCILLE,Nouvelle-Aquitaine,France,64220,43.12469731131178,-1.212219557162209,,,793177072,GROUPEMENT PASTORAL DE L'ESTIVE DE KONTRASARO,ASSOCIATIONS,Pays Basque intérieur,GARAZI BAIGORRY,UTD Basse Navarre et Soule,,,"0",,,,
